,average_breath,average_heart_rate,average_hrv,deep_sleep_duration,light_sleep_duration,rem_sleep_duration,fingerprint
user_mean,0.9871902976883554,0.9849245433724549,0.9902770139015531,0.965663205463195,0.9546363717700601,0.9692301312650472,ddc6abaa1dfa
ffill_bfill,0.9959878355227556,0.9973472529422526,1.008064457407556,0.9917012362883275,0.9976835607031699,0.9858902571189688,ddc6abaa1dfa
time_interp,0.9931237297042494,0.9906734368486402,1.00301745327924,0.9804453228945658,0.9791546527790866,0.9807918619487461,ddc6abaa1dfa
multivar_interp,0.9888774543724272,0.9870104867004905,0.9952997010427711,0.9667148432376307,0.9563807794608308,0.9698540584756836,ddc6abaa1dfa
kalman,0.9898669114579354,0.9856196175932443,0.9927106069662317,0.9676155851175835,0.9555171686835916,0.9700546296253163,ddc6abaa1dfa
calendar,0.9870767581753841,0.9854993885812768,0.9899185472654248,0.9658675467397304,0.9554764367581547,0.969739483053045,ddc6abaa1dfa
saits,0.986520396759119,0.9866515383205403,0.9910659267115868,0.9683633992471956,0.9562549228318284,0.9702080985672127,ddc6abaa1dfa
tabpfn,0.98895458038159,0.9876306806534626,0.9955744534744954,0.9661620237699031,0.955920088265786,0.9702423371244568,ddc6abaa1dfa
