column,n_eval,rmse,mae,bias,nrmse,nbias,sd_ratio,method,repeat,fold,masking,fingerprint,computed_at
nback_score,100,0.14416443622975542,0.11127513960410647,0.011646217163866442,0.7079171426013616,0.05718856184211676,0.7545294374174827,calendar,0,0,Single night masking,e64f0942e371,2026-08-17T17:48:17
nback_score,99,0.1403962924415318,0.10043236731001541,0.002786618722038205,0.6894137332083607,0.013683646361165331,0.7368364498305349,calendar,0,1,Single night masking,e64f0942e371,2026-08-17T17:48:17
nback_score,99,0.12874428852373468,0.09922942656664391,-0.01994461353188512,0.6321967556042525,-0.09793770357676042,0.7573370473227073,calendar,0,2,Single night masking,e64f0942e371,2026-08-17T17:48:17
nback_score,99,0.11974984910398585,0.09379947630664913,0.0009979846786010924,0.5880297056725896,0.004900587693550766,0.6964964746164772,calendar,0,3,Single night masking,e64f0942e371,2026-08-17T17:48:17
nback_score,99,0.1419713267316957,0.10698639856240515,0.025301172686257485,0.6971479137271611,0.12424100104670735,0.682136284757526,calendar,0,4,Single night masking,e64f0942e371,2026-08-17T17:48:17
