column,n_eval,rmse,mae,bias,nrmse,nbias,sd_ratio,method,repeat,fold,masking,fingerprint,computed_at
average_breath,152,0.7178555647496963,0.4399671052631579,-0.11595394736842106,0.5214568507900125,-0.08423000837569712,0.9381066862232564,ffill_bfill,0,0,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_heart_rate,152,4.391068836435588,3.120789473684211,0.45723684210526316,0.6343616415287004,0.06605533288809529,0.9885713425284064,ffill_bfill,0,0,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_hrv,152,14.933184523068078,9.789473684210526,-0.7236842105263158,0.542188225605766,-0.02627524339487357,1.0131552935361492,ffill_bfill,0,0,Single night masking,0b667657db6f,2026-08-17T17:05:17
deep_sleep_duration,152,2233.9400524398,1799.2105263157894,139.73684210526315,1.200517966329232,0.07509449025826094,1.0504569614129082,ffill_bfill,0,0,Single night masking,0b667657db6f,2026-08-17T17:05:17
light_sleep_duration,152,5368.99817911763,3897.434210526316,201.51315789473685,1.2243248129709587,0.045952252379271225,0.8998226600914937,ffill_bfill,0,0,Single night masking,0b667657db6f,2026-08-17T17:05:17
rem_sleep_duration,152,2616.3206135012542,1920.592105263158,139.93421052631578,1.148060277084493,0.06140413666482961,0.9845650954540756,ffill_bfill,0,0,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_breath,151,0.6632344735366349,0.4793046357615894,-0.07201986754966887,0.4817795903363607,-0.052315890787667026,0.9670806700327478,ffill_bfill,0,1,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_heart_rate,151,5.841019880554517,3.432781456953642,-0.25105960264900645,0.8438307614048013,-0.036269661804538465,1.0535910364075391,ffill_bfill,0,1,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_hrv,151,18.28037705930771,11.735099337748345,-0.304635761589404,0.6637167836424794,-0.01106059613587935,1.1284474972933185,ffill_bfill,0,1,Single night masking,0b667657db6f,2026-08-17T17:05:17
deep_sleep_duration,151,2073.4494725533555,1611.4569536423842,82.8476821192053,1.1142704305594844,0.044522291788543535,0.9433470429108104,ffill_bfill,0,1,Single night masking,0b667657db6f,2026-08-17T17:05:17
light_sleep_duration,151,5030.051083963737,3787.3509933774835,-364.17218543046357,1.1470326767032688,-0.08304436469182291,0.8730658816505339,ffill_bfill,0,1,Single night masking,0b667657db6f,2026-08-17T17:05:17
rem_sleep_duration,151,2560.534919279111,2005.8278145695365,-99.73509933774834,1.123581113775713,-0.04376447794275268,0.8788529994878,ffill_bfill,0,1,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_breath,151,0.6793427871969764,0.4586092715231788,0.052980132450331126,0.4934808167742839,0.03848525299322632,1.0455778897878176,ffill_bfill,0,2,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_heart_rate,151,4.933359346032488,3.1745695364238413,-0.27827814569536435,0.7127043664249403,-0.04020182508643387,1.0646578509976996,ffill_bfill,0,2,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_hrv,151,19.475574785998823,12.039735099337749,1.2450331125827814,0.7071115554462876,0.04520417551185473,1.0663058580128053,ffill_bfill,0,2,Single night masking,0b667657db6f,2026-08-17T17:05:17
deep_sleep_duration,151,2068.3465898862405,1598.3443708609273,-226.6887417218543,1.1115281446529082,-0.1218223859250076,1.1047680633453651,ffill_bfill,0,2,Single night masking,0b667657db6f,2026-08-17T17:05:17
light_sleep_duration,151,5640.3767311123975,4257.814569536424,-1125.8940397350993,1.2862088896330834,-0.25674436154313174,0.9790916459022211,ffill_bfill,0,2,Single night masking,0b667657db6f,2026-08-17T17:05:17
rem_sleep_duration,151,2686.7145548676635,2058.476821192053,-262.8476821192053,1.1789496441647904,-0.11533945083319082,1.0077215188401243,ffill_bfill,0,2,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_breath,151,0.6444008716968876,0.4610927152317881,0.057119205298013245,0.46809868962785683,0.04149191338332213,1.0283025591117083,ffill_bfill,0,3,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_heart_rate,151,5.5401564756633395,3.270728476821192,1.0137748344370863,0.8003661265944741,0.14645633946290565,1.0669527914850145,ffill_bfill,0,3,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_hrv,151,20.19474720241718,12.052980132450331,-2.1059602649006623,0.733222986384554,-0.07646238198281811,0.9830069551667492,ffill_bfill,0,3,Single night masking,0b667657db6f,2026-08-17T17:05:17
deep_sleep_duration,151,2065.083421177905,1565.5629139072848,-108.0794701986755,1.1097745198601383,-0.0580818386881719,0.9405918681447539,ffill_bfill,0,3,Single night masking,0b667657db6f,2026-08-17T17:05:17
light_sleep_duration,151,5741.90348483315,4203.973509933775,238.41059602649005,1.3093606433893379,0.05436619619759274,1.0991152126518982,ffill_bfill,0,3,Single night masking,0b667657db6f,2026-08-17T17:05:17
rem_sleep_duration,151,2780.3432538576103,2065.8278145695363,63.973509933774835,1.2200345897753402,0.028072035652522635,1.0486692370657904,ffill_bfill,0,3,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_breath,151,0.6929905678667769,0.515728476821192,0.060430463576158944,0.5033946895333932,0.04389724169539878,1.0311971863814187,ffill_bfill,0,4,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_heart_rate,151,5.675416721870511,3.6054304635761594,-0.3124503311258276,0.8199066792511727,-0.04513855563012727,0.9736896803742779,ffill_bfill,0,4,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_hrv,151,18.6551131069504,11.350993377483444,-0.13245033112582782,0.6773225535590065,-0.004808954841686674,0.9916106630204755,ffill_bfill,0,4,Single night masking,0b667657db6f,2026-08-17T17:05:17
deep_sleep_duration,151,1857.179553527266,1387.3509933774835,45.89403973509934,0.9980471133384932,0.02466342782530829,0.902815272327795,ffill_bfill,0,4,Single night masking,0b667657db6f,2026-08-17T17:05:17
light_sleep_duration,151,5427.132717782369,3949.271523178808,544.7682119205298,1.237581580025694,0.12422675831149942,1.0353383257292434,ffill_bfill,0,4,Single night masking,0b667657db6f,2026-08-17T17:05:17
rem_sleep_duration,151,2454.7901543689545,1946.6225165562914,313.9072847682119,1.0771795514150033,0.1377447712142415,0.9932813344252075,ffill_bfill,0,4,Single night masking,0b667657db6f,2026-08-17T17:05:17
average_breath,201,0.7258230017371634,0.47574626865671643,0.08519900497512438,0.5272444699217262,0.06188933680588253,1.0557897726294065,ffill_bfill,0,0,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
average_heart_rate,201,5.112204886931876,3.390547263681592,0.30646766169154277,0.7385415270641977,0.04427426127619562,1.0340312530771418,ffill_bfill,0,0,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
average_hrv,201,16.886952188860363,11.985074626865671,-0.9701492537313433,0.6131248581991332,-0.03522379982921993,1.0069566962020038,ffill_bfill,0,0,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
deep_sleep_duration,201,2043.2842307817075,1641.9402985074628,255.07462686567163,1.0980596487768768,0.13707694258515282,0.9489451812170859,ffill_bfill,0,0,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
light_sleep_duration,201,5362.368879515843,3927.1641791044776,1193.7313432835822,1.222813094075867,0.2722137081900513,0.9314963624688649,ffill_bfill,0,0,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
rem_sleep_duration,201,2776.0774431109185,2131.3432835820895,413.7313432835821,1.2181627213802495,0.1815482850830893,1.042845273993656,ffill_bfill,0,0,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
average_breath,202,0.8291095515761783,0.5637376237623762,0.09591584158415842,0.6022727648222446,0.06967414498038846,1.099999684341095,ffill_bfill,0,1,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
average_heart_rate,202,6.951422676526207,4.27910891089109,0.2774257425742574,1.0042465887691585,0.040078681527703296,1.1210631237140705,ffill_bfill,0,1,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
average_hrv,202,19.95092990214732,12.188118811881187,-0.693069306930693,0.724370563165575,-0.025163689443875314,1.0816562922992639,ffill_bfill,0,1,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
deep_sleep_duration,202,2027.0380283351449,1467.6237623762377,-166.93069306930693,1.0893289498933418,-0.08970844850676404,1.1846193122932256,ffill_bfill,0,1,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
light_sleep_duration,202,4864.783582743501,3754.3069306930693,-201.23762376237624,1.1093457385127072,-0.04588942068072799,1.1170773648941408,ffill_bfill,0,1,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
rem_sleep_duration,202,2411.879633467772,1867.1287128712872,-180.0,1.0583501066361676,-0.07898529286082456,1.0204620985713257,ffill_bfill,0,1,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
average_breath,194,0.6497050282330745,0.48646907216494845,-0.057345360824742266,0.47195167747008615,-0.04165619482731705,0.9979811547455973,ffill_bfill,0,2,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
average_heart_rate,194,5.241203971623786,3.3892268041237115,-0.6802577319587627,0.7571775526354313,-0.09827434448926602,0.9167842029091734,ffill_bfill,0,2,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
average_hrv,194,16.944268866571978,10.18041237113402,1.0257731958762886,0.6152058897258027,0.037243372174701764,0.9513459954541056,ffill_bfill,0,2,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
deep_sleep_duration,194,2004.5861078830028,1520.8762886597938,-170.8762886597938,1.0772633020922946,-0.09182880907287486,0.9041213103448182,ffill_bfill,0,2,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
light_sleep_duration,194,4886.6902656683,3765.3092783505153,-241.70103092783506,1.114341250632461,-0.055116533776556946,0.9065620558605322,ffill_bfill,0,2,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
rem_sleep_duration,194,2614.227823546001,2005.8247422680413,-3.556701030927835,1.1471419458205383,-0.001560705958590176,0.894993486428981,ffill_bfill,0,2,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
average_breath,196,0.6574484925894676,0.48086734693877553,0.04846938775510204,0.4775766008331827,0.03520860677218313,1.0447718591426902,ffill_bfill,0,3,Night blocks masking (2-3 day gaps),0b667657db6f,2026-08-17T17:05:17
